,Primary Key,Aggregate Rank,Frequency Score Bin,Weight,Weighted Score,Max Volume,Stop Loss,Take Profit
0xc97cfd2c3a3e61316e931b784bde21e61ce15b82,43,4.76,1,12.0,71.0,1603663,2.11,2.7
0xe2823659be02e0f48a4660e4da008b5e1abfdf29,19,4.3,1,12.0,29.0,12463915,4.08,3.78
0xe8c19db00287e3536075114b2576c70773e039bd,61,4.11,1,12.0,17.0,213695801,1.78,1.13
0x8e1f868ebb90749dc6fce7e9f0e147fff59125d5,81,3.99,0,12.0,11.0,920105,1.36,0.72
0x99655ca16c742b46a4a05afaf0f7798c336fd279,70,3.66,1,12.0,6.0,1965388,0.78,0.86
0xf76b1ed3e35c6e7c04ab2098001bf7909fd252a3,78,3.64,0,12.0,4.0,4102584,1.38,1.25
0xdcf711cb8a1e0856ff1cb1cfd52c5084f5b28030,69,3.47,1,12.0,4.0,4344117,0.75,0.94
0xe242e864b6770507c77a570967d879b9db9f2c13,71,3.51,1,12.0,3.0,1637399,1.6,2.25
0x48202a51c0d5d81b3ebed55016408a0e0a0afaae,89,3.44,1,12.0,3.0,30461472,2.38,1.2
0x54a7240cea67b8c41b7c7f2b485360f37331aef4,34,3.49,1,12.0,3.0,559723,2.73,1.77
0x7b7736a2c07c4332ffad45a039d2117ae15e3f66,98,3.39,1,12.0,3.0,1225909,3.93,0.81
0x5e3cab8074c647c8f51cb3491fe64c00b2fd8355,15,3.46,0,12.0,3.0,1257494,1.42,0.77
0x629ec4737cc3197dad07ece6001b31cddc776f43,86,3.26,1,12.0,2.0,3585187,1.94,0.59
0x126ce873371c15a664306a387cc2329f67cc515b,36,3.34,0,12.0,2.0,698435,2.49,0.74
0xe8234fe01139d921a4aa23164ba5e60eb9d1267b,22,4.96,1,3.0,27.0,190104,3.74,1.02
0x28ead95628610b4ee91408cfe1c225c71ab6e7a8,48,4.74,1,3.0,22.0,59248,2.88,1.67
0x3f0fbe29803e6ae8bcba412ab9019aa690be3649,4,4.66,1,3.0,15.0,1478973,1.84,3.57
0x68a3df93009670408292f9ba77c2b480cce6de2a,31,4.21,1,3.0,7.0,120813,4.94,1.52
0xe7a71492b82ed632ce9cff137a5248e3af267fdf,77,4.06,1,3.0,4.0,84035,2.56,1.59
0x476551e292547c70bb27307d87df54baeb0f644b,53,4.47,1,2.0,6.0,1019938,1.11,2.68
0xac125110bcdb05d784bb9376f904a3592904d0d1,58,3.59,1,2.0,1.0,1905280,2.47,1.51
0xb9581d8311cc3b9e677af6b0c55f1b93b69ad6f6,13,5.4,1,0.1,2.0,61349,2.15,1.76